P00027739T0000|6 31|gamma glutamyltransferase
P08722011A0103|115 211|L11-like eukaryotic counterpart (Saccharomyces cerevisiae protein L15 and mammalian protein L12)
P08722011A0103|115 146|L11-like eukaryotic counterpart
P08722011A0103|173 184|protein L15
P08722011A0103|181 184|L15
P08722011A0103|199 210|protein L12
P08722011A0103|207 210|L12
P08722568A1001|131 141|H3 histone
P08722568A1001|131 133|H3
P08723352A0084|55 86|cyclin-dependent kinases (cdks)
P08723352A0084|55 79|cyclin-dependent kinases
P08723352A0084|124 156|retinoblastoma tumour suppressor
P08723883A0823|0 12|Blood GSH-Px
P08728040T0000|85 102|Janus kinase-Stat
P08731222A0000|225 267|Phaseolus vulgaris leucoagglutinin (PHA-L)
P08731511A0625|36 60|antithrombin III (ATIII)
P08731511A0625|65 91|heparin cofactor II (HCII)
P08732665A0000|40 48|c-erbB-2
P08732665A0000|187 197|p185erbB-2
P08732665A0000|233 265|insulin-like growth factor (IGF)
P08732665A0000|279 312|IGF/epidermal growth factor (EGF)
P08732665A0000|283 312|epidermal growth factor (EGF)
P08733123A0951|24 28|FRG1
P08740416A0919|4 18|SEB1 homologue
P08748033A0874|68 77|LamB-LacZ
P08748033A0874|68 84|LamB-LacZ hybrid
P08748033A0874|68 92|LamB-LacZ hybrid protein
P08749393A0783|4 12|PI3K_68D
P08749393A0783|92 109|p110 PI 3-kinases
P08749393A0783|113 116|p85
P08749393A0783|113 124|p85 adaptor
P08749393A0783|209 212|SH3
P08749393A0783|245 254|C2 domain
P08749394A0874|93 104|RBP-J kappa
P08749394A0874|136 141|RAM23
P08749394A0874|159 165|Notch1
P08749394A0874|159 164|Notch
P08750190A0000|160 180|CD44 variant (CD44v)
P08750190A0000|160 164|CD44
P08750190A0000|160 189|CD44 variant (CD44v) isoforms
P08750190A0000|173 189|(CD44v) isoforms
P08750702A0183|54 73|alpha1-adrenoceptor
P08754777A1214|21 24|T3R
P08754777A1214|45 52|T3R-RXR
P08754777A1214|45 65|T3R-RXR heterodimers
P08754840A0793|98 107|deltabem4
P08756332A0000|15 58|Ras subfamily of small GTP-binding proteins
P08756332A0000|15 18|Ras
P08756332A0000|169 174|c-Raf
P08756332A0000|183 240|Ral-specific guanine nucleotide exchange factor (Ral-GEF)
P08756433A0282|157 162|MAP1B
P08756597A0854|75 84|psaB mRNA
P08756636T0000|30 41|yeast Rad51
P08756636T0000|36 41|Rad51
P08756636T0000|36 49|Rad51 protein
P08756636T0000|83 87|Srs2
P08756712A0227|57 87|70-kDa subunit of RPA (RPA 70)
P08756712A0227|75 78|RPA
P08756712A0227|75 78|RPA
P08757943A0876|61 77|thymidine kinase
P08759870A1128|18 40|fbpA operator sequence
P08759870A1128|18 22|fbpA
P08759870A1128|18 31|fbpA operator
P08759870A1128|124 137|Fur repressor
P08759870A1128|124 127|Fur
P08760286A0696|206 224|Ras and Rho family
P08760286A0696|206 217|Ras and Rho
P08760286A0696|206 235|Ras and Rho family of GTPases
P08760286A0696|214 217|Rho
P08760286A0696|214 235|Rho family of GTPases
P08760889A0531|52 91|protein sequences of T. pyriformis H2As
P08760889A0531|73 91|T. pyriformis H2As
P08761480A0331|196 205|v-Src-SH3
P08761480A0331|234 249|'dunc-like' PDE
P08761480A0331|246 249|PDE
P08761480A0331|325 334|v-Src-SH3
P08761480A0331|325 334|v-Src-SH3
P08768374A0765|13 17|P-rr
P08768374A0765|13 22|P-rr cDNA
P08768377A1387|12 18|hcf109
P08768377A1387|78 91|phytochrome C
P08769132A0000|4 20|human MSH-2 gene
P08769132A0000|4 15|human MSH-2
P08769132A0000|10 28|MSH-2 gene product
P08769132A0000|10 20|MSH-2 gene
P08769132A0000|10 15|MSH-2
P08769132A0000|162 193|Escherichia coli (E. coli) MutS
P08769132A0000|222 227|MSH-1
P08769132A0000|232 237|MSH-2
P08769132A0000|393 460|hereditary non-polyposis colorectal cancer (HNPCC) tumor suppressor
P08769132A0000|436 460|(HNPCC) tumor suppressor
P08769132A0000|436 466|(HNPCC) tumor suppressor genes
P08769409A0114|66 76|RAR beta 2
P08769409A0114|66 81|RAR beta 2 gene
P08769409A0114|66 90|RAR beta 2 gene in mouse
P08769566A0000|77 133|Zfhep (zinc finger homeodomain enhancer-binding protein)
P08769568A0949|64 76|viperid PLA2
P08769568A0949|72 82|PLA2 genes
P08769568A0949|72 76|PLA2
P08770021T0000|32 47|tyrosine kinase
P08770920A1220|88 93|IDX-1
P08770920A1220|88 100|IDX-1 mutant
P08770920A1220|88 93|IDX-1
P08770920A1220|237 251|TAAT-1 element
P08770920A1220|237 243|TAAT-1
P08770981A0328|26 53|von Willebrand factor (vWF)
P08770981A0328|49 52|vWF
P08770981A0328|49 52|vWF
P08771781A0103|112 117|ORFII
P08771781A0103|112 117|ORFII
P08771781A0103|208 234|clones homologous to ORFII
P08771781A0103|229 234|ORFII
P08771781A1103|4 9|ORFII
P08771781A1103|4 14|ORFII gene
P08771787T0000|27 60|leucine-rich repeat (LRR) protein
P08771787T0000|47 60|(LRR) protein
P08771787T0000|47 79|(LRR) protein from tomato plants
P08774732A0271|24 36|zif268/egr-1
P08776735A0000|57 92|wild type rat LH/CG receptor (rLHR)
P08776735A0000|67 85|rat LH/CG receptor
P08776735A0000|67 92|rat LH/CG receptor (rLHR)
P08776735A0000|71 92|LH/CG receptor (rLHR)
P08776735A0000|71 85|LH/CG receptor
P08776901A0000|0 25|Chloroplast mutator (chm)
P08776901A0000|0 40|Chloroplast mutator (chm) of Arabidopsis
P08776901A0000|20 40|(chm) of Arabidopsis
P08781119A0723|30 45|mouse Met-ase-1
P08781119A0723|36 45|Met-ase-1
P08781119A0723|36 50|Met-ase-1 gene
P08781119A0723|131 144|rat Met-ase-1
P08781119A0723|135 149|Met-ase-1 gene
P08781119A0723|135 144|Met-ase-1
P08790387A0299|7 14|rat rnu
P08790387A0299|11 21|rnu allele
P08790387A0299|11 14|rnu
P08790387A0299|75 78|whn
P08792217A1407|37 54|testicular TIMP-2
P08792217A1407|48 59|TIMP-2 mRNA
P08792217A1407|48 54|TIMP-2
P08792217A1407|48 59|TIMP-2 mRNA
P08792217A1407|48 54|TIMP-2
P08794326A0405|28 31|Tas
P08794326A0405|63 71|TRE (GP)
P08794326A0405|96 99|gag
P08794326A0405|123 140|pol gene of SFV-1
P08794326A0405|123 126|pol
P08794339A1162|64 68|CREB
P08794339A1162|139 165|CREB-binding protein (CBP)
P08794339A1162|139 143|CREB
P08794339A1162|139 143|CREB
P08794348A1067|60 63|NIa
P08794348A1067|60 63|NIa
P08794363A0259|84 91|jun-fos
P08794363A0259|84 96|jun-fos gene
P08794363A0259|84 103|jun-fos gene family
P08794363A0259|88 96|fos gene
P08794363A0259|88 103|fos gene family
P08794869A0274|79 95|alpha 2 integrin
P08795304T0000|0 21|Plasma thrombomodulin
P08798420A0207|114 118|AP-1
P08798420A0207|144 156|PRDII/kappaB
P08798420A0207|144 163|PRDII/kappaB domain
P08798420A0207|150 163|kappaB domain
P08798443A0660|218 228|mim-1A Myb
P08798443A0660|218 247|mim-1A Myb-responsive element
P08798443A0660|225 247|Myb-responsive element
P08798443A0660|262 271|herpes tk
P08798443A0660|269 280|tk promoter
P08798443A0660|269 271|tk
P08798512A1197|66 71|u-PAR
P08798610A0843|269 272|Dbl
P08798635A0870|71 75|ARF1
P08798762A1279|70 73|Cut
P08798782A0976|56 59|SH3
P08798893A0611|48 59|lactalbumin
P08804389A0893|34 38|Ltp4
P08805338A1061|27 31|OGG1
P08805338A1061|64 84|OG glycosylase/lyase
P08806693A0584|45 51|GATA-1
P08806693A0584|95 99|ME26
P08806693A0584|267 273|GATA-1
P08806817A0244|141 153|TR2 receptor
P08807288T0000|64 68|ADH2
P08808120A0774|209 217|ferritin
P08808707A0631|45 82|extra-cellular regulated kinase (ERK)
P08808707A0631|91 129|stress-activated protein kinase (SAPK)
P08808707A0631|133 160|Jun N-terminal kinase (JNK)
P08808927A0417|2 51|1.5-kb HindIII genomic fragment carrying the vspA
P08808927A0417|9 56|HindIII genomic fragment carrying the vspA gene
P08808927A0417|9 51|HindIII genomic fragment carrying the vspA
P08808927A0417|17 51|genomic fragment carrying the vspA
P08808927A0417|17 56|genomic fragment carrying the vspA gene
P08808927A0417|25 56|fragment carrying the vspA gene
P08808927A0417|25 51|fragment carrying the vspA
P08808927A0417|47 51|vspA
P08808927A0417|47 56|vspA gene
P08808939A0000|36 39|gnt
P08808939A0000|36 46|gnt operon
P08810278A0682|60 67|BCR/ABL
P08810278A0682|80 95|CRKL-SH2 domain
P08810278A0682|80 88|CRKL-SH2
P08810278A0682|188 195|BCR/ABL
P08812106T0000|0 4|PCNA
P08812490A0000|48 53|AQP2L
P08812490A0542|75 79|hKID
P08812490A1509|95 98|MIP
P08812490A1509|120 130|MIP family
P08812490A1509|120 123|MIP
P08812490A1509|120 135|MIP family gene
P08813766A0605|206 211|Mig1p
P08813766A0605|216 250|Cre-A from Aspergillus, Emericella
P08813766A0605|216 221|Cre-A
P08813766A0605|216 238|Cre-A from Aspergillus
P08816443A1674|10 33|multidomained ROK alpha
P08816452A0936|87 89|SR
P08816453A0000|88 93|Raf-1
P08816459A0090|72 78|RevErb
P08816459A0090|117 146|thyroid hormone receptor (TR)
P08816459A0090|151 179|retinoic acid receptor (RAR)
P08816460A1769|42 45|Jun
P08816498A0000|4 33|serine/threonine kinase Raf-1
P08816504T0000|121 124|SH2
P08816504T0000|121 131|SH2-domain
P08816507A1125|29 32|E1A
P08816507A1125|66 69|p53
P08816507A1125|100 103|E1A
P08816507A1125|100 103|E1A
P08816759A0000|4 39|retinoid Z receptor beta (RZR beta)
P08816759A0000|80 133|retinoic acid receptor (RAR)/thyroid hormone receptor
P08816759A0000|80 108|retinoic acid receptor (RAR)
P08816759A0000|80 148|retinoic acid receptor (RAR)/thyroid hormone receptor (TR) subfamily
P08816759A0000|80 138|retinoic acid receptor (RAR)/thyroid hormone receptor (TR)
P08816759A0000|80 169|retinoic acid receptor (RAR)/thyroid hormone receptor (TR) subfamily of nuclear receptors
P08816759A0000|103 138|(RAR)/thyroid hormone receptor (TR)
P08816759A0000|103 133|(RAR)/thyroid hormone receptor
P08816759A0000|103 148|(RAR)/thyroid hormone receptor (TR) subfamily
P08816759A0000|103 169|(RAR)/thyroid hormone receptor (TR) subfamily of nuclear receptors
P08816759A0000|109 138|thyroid hormone receptor (TR)
P08816759A0000|109 148|thyroid hormone receptor (TR) subfamily
P08816759A0000|109 169|thyroid hormone receptor (TR) subfamily of nuclear receptors
P08816759A0000|134 148|(TR) subfamily
P08816759A0000|134 169|(TR) subfamily of nuclear receptors
P08816792A0000|0 37|DNA-dependent protein kinase (DNA-PK)
P08817323A0714|70 78|DXS6673E
P08817323A0714|70 78|DXS6673E
P08817324A1070|96 121|immunoglobulin-like CAGGG
P08817324A1070|96 130|immunoglobulin-like CAGGG pentamer
P08817324A1070|96 110|immunoglobulin
P08817324A1070|96 115|immunoglobulin-like
P08818718A1229|151 153|GC
P08820642A0173|20 24|hrpZ
P08820642A0173|72 75|Hrp
P08820642A0173|146 149|hrp
P08820648A0123|69 74|nrdAB
P08820648A0123|69 74|nrdAB
P08823163T0000|107 110|SH3
P08823187A1020|101 112|dipeptidase
P08824585A0260|46 86|hematopoietic progenitor kinase 1 (HPK1)
P08824798A0761|0 15|Human ESP1/CRP2
P08824798A0761|6 15|ESP1/CRP2
P08824798A0761|6 23|ESP1/CRP2 protein
P08824798A0761|32 43|LIM domains
P08824798A0761|111 132|cysteine-rich protein
P08824798A0761|111 138|cysteine-rich protein (CRP)
P08824798A0761|147 151|CRIP
P08824805A0832|89 92|p55
P08824881A0133|56 59|TSC
P08825087A0213|27 45|3213 bp BamHI-ClaI
P08825087A0213|27 54|3213 bp BamHI-ClaI fragment
P08825087A0213|27 40|3213 bp BamHI
P08825087A0213|35 45|BamHI-ClaI
P08825087A0213|35 54|BamHI-ClaI fragment
P08825087A0213|41 54|ClaI fragment
P08825554A0000|0 21|Tristetraprolin (TTP)
P08825633A0304|85 100|human G alpha q
P08825633A0304|91 105|G alpha q cDNA
P08825636T0000|49 65|human gene NFKB1
P08825636T0000|55 65|gene NFKB1
P08825636T0000|60 65|NFKB1
P08825636T0000|94 97|p50
P08825639A0827|12 22|Alu repeat
P08825639A0827|12 30|Alu repeat element
P08828152A1238|46 63|RPO1 polypeptides
P08828152A1238|46 50|RPO1
P08828152A1238|46 77|RPO1 polypeptides of IIV6, LCDV
P08828152A1238|46 71|RPO1 polypeptides of IIV6
P08828152A1825|117 139|polymerases II and III
P08832146A0959|48 68|alkaline phosphatase
P08833153A0628|33 38|hCHLR
P08833153A0628|33 43|hCHLR gene
P08833653A0304|22 55|LIM domain homeobox protein isl-1
P08833653A0304|22 25|LIM
P08833653A0304|22 49|LIM domain homeobox protein
P08833653A0304|33 55|homeobox protein isl-1
P08833653A0304|42 55|protein isl-1
P08833653A0304|70 80|rat amylin
P08833653A0304|74 89|amylin promoter
P08833653A0304|74 80|amylin
P08833653A0783|45 65|amylin gene promoter
P08833653A0783|45 51|amylin
P08833653A0783|45 56|amylin gene
P08835969A0000|218 262|beta subunit of human chorionic gonadotropin
P08835969A0000|218 273|beta subunit of human chorionic gonadotropin (beta-hCG)
P08835969A0000|234 273|human chorionic gonadotropin (beta-hCG)
P08836032T0000|23 62|AcMNPV homologous region sequence (hr1)
P08836032T0000|23 47|AcMNPV homologous region
P08836032T0000|30 56|homologous region sequence
P08836032T0000|30 62|homologous region sequence (hr1)
P08836172A1382|130 142|p21Cip1/Waf1
P08836172A1382|147 155|myogenin
P08837503A0392|211 220|extensins
P08838148A1218|53 65|TRH receptor
P08838314A0129|59 63|V1aR
P08838314A0129|183 193|human V1aR
P08838314A0129|189 193|V1aR
P08838314A0129|189 198|V1aR gene
P08838805T0000|28 60|human beta-catenin gene (CTNNB1)
P08838805T0000|28 46|human beta-catenin
P08838805T0000|34 60|beta-catenin gene (CTNNB1)
P08838805T0000|34 51|beta-catenin gene
P08838805T0000|34 46|beta-catenin
P08839832A0729|20 25|CD30v
P08839832A1220|36 41|CD30v
P08840501A0345|38 51|actin-related
P08840501A0345|38 43|actin
P08844448A0000|196 202|lipase
P08845378A0368|76 87|human MZF-1
P08845378A0368|82 87|MZF-1
P08845378A0368|82 92|MZF-1 gene
P08846775A0110|105 114|G1 cyclin
P08849778A0226|42 46|repA
P08849778A0598|26 50|repA (initiator protein)
P08849778A0598|71 91|tap (leader peptide)
P08853893A0158|43 46|E2F
P08856077T0000|30 58|tryptophanyl-tRNA synthetase
P08856132T0000|53 58|kinin
P08858211A0694|133 141|GST-Rab4
P08861955A0927|21 30|RCC1-like
P08861955A0927|21 74|RCC1-like motif located at the amino-terminus of p619
P08861955A0927|21 25|RCC1
P08861955A0927|52 74|amino-terminus of p619
P08861955A0927|152 155|Rab
P08861955A0927|189 209|GTP binding proteins
P08861955A0927|225 236|R-Ras2/TC21
P08861963A0375b|152 158|rrnBP1
P08861963A0375b|152 161|rrnBP1 UP
P08861963T0000|48 62|RNA polymerase
P08861963T0000|48 68|RNA polymerase alpha
P08862522A0690|37 45|cdc28-P8
P08862522A0690|37 52|cdc28-P8 mutant
P08864061A0000|14 30|thymidine kinase
P08869763A0378|147 171|opioid receptor subtypes
P08869825A0000|39 77|flavin-containing monooxygenases (FMO)
P08871542A1352|104 107|Mtx
P08871542A1352|155 160|Thbs3
P08871567A0000|0 4|MSSP
P08871635A0000|0 29|B cell antigen receptor (BCR)
P08872162A0884|67 71|CD4+
P08872162A0884|67 76|CD4+/CD8+
P08872162A0884|72 76|CD8+
P08873063A0875|63 66|USF
P08873063A0875|138 142|LpS1
P08876167A0322|12 52|intrinsic DNA-binding subunit for HiNF-D
P08876167A0322|22 52|DNA-binding subunit for HiNF-D
P08876167A0322|34 52|subunit for HiNF-D
P08876167A0717|4 28|HiNF-D (CDP/cut) complex
P08876167A0717|4 20|HiNF-D (CDP/cut)
P08876167A0717|38 40|H4
P08876167A0717|92 99|CDP/cut
P08876167A0717|92 99|CDP/cut
P08876167A0717|134 149|CDP/cut complex
P08876167A0717|157 188|nonhistone promoter (gp91-phox)
P08876167A0717|178 187|gp91-phox
P08876167A0717|214 229|p107 antibodies
P08876701A0177|30 34|UmuC
P08877103A0081|27 31|mdr2
P08877103A0081|27 31|mdr2
P08877818A0184|69 72|TRH
P08877818A0184|69 134|TRH progenitor sequence (Lys/Arg-Arg-Gln-His-Pro-Gly-Lys/Arg-Arg)
P08877818A0184|69 83|TRH progenitor
P08878037A0000|9 13|ccpA
P08878037A0000|46 58|protein CcpA
P08878037A0000|54 58|CcpA
P08878044A1390|3 7|InlC
P08878044A1390|3 16|InlC deletion
P08878045A0606|10 15|N-Nus
P08878045A0606|10 23|N-Nus complex
P08882492A0000|14 25|homeodomain
P08882492A0000|14 34|homeodomain proteins
P08882492A0000|46 49|Hox
P08882710A0000|0 43|Interferon stimulated gene factor 3 (ISGF3)
P08882710A0000|116 155|interferon-alpha and beta (type I IFNs)
P08886845A1274|33 41|myogenin
P08887643A1167|79 93|activated TC21
P08887647T0000|0 18|Fission yeast mal2
P08887647T0000|8 19|yeast mal2+
P08887647T0000|8 18|yeast mal2
P08887647T0000|14 19|mal2+
P08887647T0000|14 18|mal2
P08887652A0341|79 94|con-10 promoter
P08887652A0341|79 85|con-10
P08887652A0341|79 85|con-10
P08887652A0341|202 243|bacterial hygromycin B phosphotransferase
P08887652A0341|202 273|bacterial hygromycin B phosphotransferase structural gene (con10'-'hph)
P08887652A0341|212 259|hygromycin B phosphotransferase structural gene
P08887652A0341|212 243|hygromycin B phosphotransferase
P08887652A0341|212 273|hygromycin B phosphotransferase structural gene (con10'-'hph)
P08887667A0992|188 204|Cdc28/Clb kinase
P08887667A0992|188 197|Cdc28/Clb
P08887667A0992|194 204|Clb kinase
P08887674A0630|18 22|DMP1
P08887674A0630|102 105|Ets
P08887678A0000|31 42|protein Bax
P08887678A0000|39 42|Bax
P08887678A0000|66 71|GAL10
P08891337A0614|4 32|amino-terminal region of E1A
P08891337A0614|181 202|(CRE)-binding protein
P08891341A0724|95 103|5' mdr1b
P08891341A0724|98 113|mdr1b sequences
P08891341A0724|98 103|mdr1b
P08891345A0684|41 62|testis-specific c-mos
P08891345A0684|57 62|c-mos
P08891345A0684|57 67|c-mos mRNA
P08891345A0684|176 187|beta-globin
P08892755A0186|18 22|JAK1
P08892755A0186|18 22|JAK1
P08892755A0186|84 101|kinase-like (JH2)
P08892755A0186|106 126|kinase (JH1) domains
P08892755A0186|106 118|kinase (JH1)
P08892755A0186|113 126|(JH1) domains
P08892755A0981|50 89|chloramphenicol acetyltransferase (CAT)
P08892755A0981|50 103|chloramphenicol acetyltransferase (CAT) reporter gene
P08892755A0981|84 103|(CAT) reporter gene
P08892755A0981|84 98|(CAT) reporter
P08892755A0981|85 88|CAT
P08892757T0000|48 51|Ets
P08892859A0563|103 118|truncated C-MYB
P08892859A0563|113 118|C-MYB
P08892859A0563|113 126|C-MYB protein
P08892859A0563|169 174|c-myb
P08893822A0560|25 37|3.1-kb PWP2H
P08893822A0560|32 37|PWP2H
P08893822A0560|32 42|PWP2H cDNA
P08895522T0000|28 43|tyrosine kinase
P08895522T0000|58 67|human trk
P08895522T0000|64 67|trk
P08895522T0000|64 82|trk proto-oncogene
P08896280A0860|60 64|IME2
P08896402A0587|8 10|FL
P08898866A0458|119 129|annexin II
P08898866A0458|119 129|annexin II
P08898893A0202|4 9|PAI-2
P08898893A0202|34 37|TNF
P08900190A0430|44 64|immediate early gene
P08900190A0430|44 98|immediate early gene products MAP kinase phosphatase-1
P08900190A0430|44 106|immediate early gene products MAP kinase phosphatase-1 (MKP-1)
P08900190A0430|44 113|immediate early gene products MAP kinase phosphatase-1 (MKP-1), c-Fos
P08900190A0430|74 106|MAP kinase phosphatase-1 (MKP-1)
P08901135A1132|4 8|NIT2
P08901135A1132|4 8|NIT2
P08902214A1486|59 62|PRL
P08902214A1486|117 121|Stat
P08910292T0000|19 60|small GTP-binding proteins Rac1 and Cdc42
P08910292T0000|46 50|Rac1
P08910292T0000|68 123|c-Jun N-terminal kinase/stress-activated protein kinase
P08910373A0315|32 35|PP2
P08910373A0315|45 47|Y1
P08910373A0315|49 57|mouse Y4
P08910373A0315|49 61|mouse Y4/PP1
P08910373A0315|55 61|Y4/PP1
P08910373A0315|66 74|human Y2
P08910373A0315|72 84|Y2 receptors
P08910373A0315|72 74|Y2
P08910567A2269|47 68|rat liver glucokinase
P08910567A2269|47 77|rat liver glucokinase promoter
P08910567A2269|51 77|liver glucokinase promoter
P08910567A2269|51 68|liver glucokinase
P08910567A2269|57 77|glucokinase promoter
P08912807A0411|164 175|beta-casein
P08914522A0118|4 9|STE20
P08914532A0598|69 72|X-I
P08915508A0000|121 159|Tat (trans-activator of transcription)
P08915508A0000|265 284|group antigen (Gag)
P08915508A0000|286 300|protease (Pro)
P08915508A0000|302 328|reverse transcriptase (RT)
P08915508A0000|339 353|envelope (Env)
P08915508A0000|339 368|envelope (Env) coding regions
P08916960A0350|97 113|rearranged bcl-2
P08916960A0350|108 118|bcl-2 gene
P08916960A0350|108 113|bcl-2
P08916960A1331|67 72|bcl-2
P08916960A1331|67 77|bcl-2 gene
P08916960A1331|67 77|bcl-2 gene
P08916960A1331|67 72|bcl-2
P08917435A0481|86 91|PAI-1
P08917435A0481|86 91|PAI-1
P08917449A0000|0 32|Leukemia-inhibitory factor (LIF)
P08917696A0485|28 35|fos/jun
P08917696A0485|32 35|jun
P08917696A0485|335 353|firefly luciferase
P08917696A0485|343 353|luciferase
P08917696A0485|343 358|luciferase gene
P08918464A0225|0 7|STK/RON
P08918464A0225|87 95|STK/ RON
P08918810A0967|163 177|wild-type OxyR
P08918810A0967|173 177|OxyR
P08918885A0811|29 44|GST-Dig1 fusion
P08918885A1087|13 22|dig1 dig2
P08918885A1087|74 89|dig1 dig2 ste12
P08918885A1087|74 83|dig1 dig2
P08918885A1087|79 89|dig2 ste12
P08918918T0000|28 37|HIV-1 LTR
P08918918T0000|54 63|viral Tat
P08918918T0000|60 63|Tat
P08918918T0000|60 71|Tat protein
P08919907A0763|89 99|-76/grp1.8
P08921387A1182|66 70|EZH1
P08921387A1182|93 102|gene GPR2
P08921387A1182|156 160|EZH1
P08921865A1293|86 95|terminase
P08921865A1293|111 115|gp17
P08922384A0466|58 72|monoclonal 08L
P08922384A0466|69 81|08L antibody
P08922384A0466|69 72|08L
P08922384A0466|69 72|08L
P08922384A0466|96 107|08L epitope
P08922385A0622|91 109|beta-galactosidase
P08922390A0361|30 67|vinculin- and FAK-interaction domains
P08922390A0361|44 47|FAK
P08922390A0361|109 148|paxillin focal adhesion targeting motif
